"","cell_diameter_um","spindle_length__asters_um","spindle_length_poles_um","spindle_width_um","spindle_aspect_ratio_asters_um","spindle_aspect_ratio_poles_um","metaphase_plate_lengt_h_um","metaphase_plate_width_um","metaphase_plate_aspect_ratio_um","distance_between_chromosomes_um","genome","astere.to.pole_distance_AVG","inner_aster_diameter_AVG","polar_body_diameter_AVG","outer_aster_diameter_AVG"
"103",125.8026,36.13995,25.09584,20.06697,1.80096696212732,1.25060435132957,11.93346,4.47909,2.66425992779783,0,811,2.288055,8.18202,8.86116,39.08289
"104",105.2667,39.00204,24.4167,18.51465,2.10655021834061,1.31877729257642,10.15476,3.83229,2.64978902953587,0,811,3.13698,9.419025,8.86116,44.459415
"105",142.19898,46.35939,27.61836,20.74611,2.23460639127046,1.33125487139517,12.69345,4.46292,2.84420289855072,0,811,4.050585,11.569635,8.86116,52.48782
"106",80.91468,39.00204,24.7401,19.82442,1.9673735725938,1.24796084828711,11.98197,5.86971,2.04132231404959,0,811,3.048045,10.36497,8.86116,37.635675
"107",143.20152,47.87937,35.78421,17.28573,2.76987839101964,2.07015902712816,18.23976,3.73527,4.88311688311688,0,811,3.791865,10.971345,8.86116,43.72368
"108",161.24724,50.4504,22.08822,14.86023,3.39499455930359,1.48639825897715,10.55901,3.54123,2.98173515981735,0,811,9.24924,9.11988,8.86116,44.847495
"109",114.9687,46.47258,31.19193,17.20488,2.70112781954887,1.81296992481203,13.03302,4.78632,2.72297297297297,0,811,3.953565,9.68583,8.86116,40.89393
"110",189.69027,67.20252,42.59178,25.75881,2.60891399874451,1.65348399246704,20.89164,5.8212,3.58888888888889,0,811,6.59736,21.15036,8.86116,89.24223
"111",143.47641,61.38132,36.17229,19.61421,3.12943116240726,1.8441879637263,15.44235,4.43058,3.48540145985401,0,811,4.357815,15.563625,8.86116,64.69617
"112",143.1045,42.31689,26.74518,17.49594,2.41866913123845,1.52865064695009,12.79047,6.03141,2.12064343163539,0,811,4.09101,9.564555,8.29521,61.470255
"113",124.0239,49.22148,41.15265,26.0337,1.89068322981366,1.58074534161491,18.01338,4.73781,3.80204778156997,0,811,0,17.827425,8.29521,45.16281
"114",141.08325,38.808,30.3996,26.17923,1.48239654107474,1.16121062384188,9.97689,3.84846,2.59243697478992,0,811,0,10.30029,8.29521,60.33027
"115",105.89733,46.48875,33.29403,15.81426,2.93967280163599,2.10531697341513,12.15984,3.79995,3.2,0,811,3.500805,7.155225,8.497335,30.375345
"116",84.82782,45.72876,31.70937,17.47977,2.61609620721554,1.81406105457909,16.10532,4.99653,3.22330097087379,0,811,2.60337,8.820735,8.497335,38.98587
"117",107.6922,30.77151,20.79462,15.05427,2.04403866809882,1.3813104189044,8.76414,4.10718,2.13385826771654,0,811,3.112725,7.042035,8.497335,35.533575
"121",108.09645,47.10321,33.08382,22.21758,2.12008733624454,1.48908296943231,15.41001,5.28759,2.91437308868501,0,811,3.161235,14.981505,8.497335,49.43169
"124",103.58502,41.65392,26.3571,17.70615,2.35251141552511,1.48858447488584,12.22452,3.34719,3.65217391304348,0,811,2.78124,10.162845,8.497335,34.482525
"125",111.75087,43.80453,25.45158,19.09677,2.29381879762913,1.33276883996613,10.28412,5.43312,1.89285714285714,0,811,5.0127,11.133045,8.497335,43.230495
"126",73.68669,33.09999,20.35803,15.21597,2.17534537725824,1.33793836344315,8.48925,3.13698,2.70618556701031,0,811,2.95911,7.16331,8.497335,29.890245
"127",98.3136,37.09398,23.85075,19.7274,1.88032786885246,1.20901639344262,10.89858,3.92692067960752,2.721669236598,0,811,2.352735,11.39985,8.497335,41.70243
"128",122.71413,36.67356,22.73502,14.8764,2.46521739130435,1.52826086956522,12.43473,4.93185,2.52131147540984,0,811,3.630165,7.01778,8.497335,38.282475
"130",72.66798,34.9272,20.00229,16.41255,2.12807881773399,1.21871921182266,11.75559,3.84846,3.0546218487395,0,811,2.73273,8.594355,8.497335,28.645155
"132",94.25493,43.77219,29.00898,18.04572,2.42562724014337,1.60752688172043,14.7147,4.88334,3.01324503311258,0,811,3.128895,12.48324,8.497335,49.02744
"133",120.66054,47.03853,32.67957,17.88402,2.63019891500904,1.82730560578662,14.65002,4.13952,3.5390625,0,811,3.387615,10.12242,8.497335,41.36286
"134",168.9765,48.60702,27.56985,14.77938,3.28884026258206,1.86542669584245,14.74704,5.88588,2.50549450549451,0,811,0,23.89926,8.497335,68.633565
