aster-to-pole_distance_2_um,astere-to-pole_distance_1_um,cell_diameter_um,centrosome,chromosomes,classification,classification_CAT,cleavage_type,cleavage_type_CAT,day_old,distance_between_chromosomes_um,fixation,fixation_CAT,genome,inner_aster_diameter_1_um,inner_aster_diameter_2_um,metaphase_plate_aspect_ratio_um,metaphase_plate_lengt_h_um,metaphase_plate_width_um,microscope,microscope_CAT,num_of_cells,num_of_cells_CAT,num_of_cells_NUM,organism,organism_CAT,outer__diameter_2_um,outer_aster_diameter_1_um,phylum,phylum_CAT,polar_body_diameter_1_um,polar_body_diameter_2_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,stage,stage_CAT,time_pf
8.80636,4.53174,169.89204,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,18.44836,15.941440000000002,4.656565656565657,14.816540000000002,3.1818600000000004,mm20,2.0,2,2.0,2.0,asterina_miniata,1,71.54364,69.03672,echinodermata,1,15.68432,10.33263,3.456967213114754,1.9241803278688527,54.22018,30.179460000000002,15.68432,m,2.0,120
5.399520000000001,7.327920000000001,193.0,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,18.83404,17.25918,5.822222222222222,16.84136,2.8926000000000003,mm20,2.0,2,2.0,2.0,asterina_miniata,1,67.71898,65.17992000000001,echinodermata,1,15.68432,10.33263,2.2980625931445604,1.225037257824143,49.55988,26.41908,21.56594,m,2.0,120
9.60986,9.06348,183.7,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,22.85154,22.722980000000003,4.514563106796116,14.9451,3.3104200000000006,mm20,2.0,2,2.0,2.0,asterina_miniata,1,68.4582,70.64372,echinodermata,1,15.68432,10.33263,3.925373134328358,1.6007462686567162,67.62256000000001,27.57612,17.227040000000002,m,2.0,120
7.327920000000001,6.910100000000001,201.5,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,14.88082,15.620040000000001,3.4444444444444446,15.941440000000002,4.62816,mm20,2.0,1,1.0,1.0,asterina_miniata,1,62.93012000000001,58.8162,echinodermata,1,15.68432,10.33263,2.6980802792321117,1.7504363001745202,49.68844,32.23642,18.41622,m,2.0,120
8.613520000000001,7.777880000000001,224.4,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,20.794580000000003,21.019560000000002,3.44927536231884,15.29864,4.435320000000001,mm20,2.0,1,1.0,1.0,asterina_miniata,1,79.32152,70.03306,echinodermata,1,15.68432,10.33263,3.081081081081081,2.0135135135135136,65.95128,43.099740000000004,21.40524,m,2.0,120
6.620840000000001,9.9634,212.4,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,20.11964,17.901980000000002,4.304964539007092,19.50898,4.53174,mm20,2.0,1,1.0,1.0,asterina_miniata,1,52.99886000000001,56.85566000000001,echinodermata,1,15.68432,10.33263,2.8557993730407523,1.590909090909091,58.55908,32.6221,20.50532,m,2.0,120
6.87796,5.9459,212.50968000000003,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,23.076520000000002,22.015900000000002,5.133333333333334,19.798240000000003,3.8568000000000002,mm20,2.0,1,1.0,1.0,asterina_miniata,1,89.28492000000001,74.82192,echinodermata,1,15.68432,10.33263,3.0416068866571018,1.5494978479196557,68.13680000000001,34.711200000000005,22.401580000000003,m,2.0,120
13.723780000000001,7.488620000000001,220.9,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,15.652180000000001,19.155440000000002,2.5919540229885056,14.495140000000001,5.59236,mm20,2.0,1,1.0,1.0,asterina_miniata,1,70.5473,76.04324,echinodermata,1,15.68432,10.33263,5.754257907542579,2.510948905109489,76.0111,33.16848,13.20954,m,2.0,120
7.585040000000001,8.22784,200.9,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,16.937780000000004,17.00206,2.0104166666666665,12.40604,6.17088,mm20,2.0,1,1.0,1.0,asterina_miniata,1,61.99806,62.70514,echinodermata,1,15.68432,10.33263,3.0579439252336447,1.5289719626168223,52.58104,26.29052,17.1949,m,2.0,120
2.34622,4.53174,172.43110000000001,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,14.3023,19.6054,2.3891625615763545,15.587900000000001,6.524420000000001,mm20,2.0,2,2.0,2.0,asterina_miniata,1,61.61238,51.070460000000004,echinodermata,1,11.956080000000002,9.3206,2.1511789181692094,1.145631067961165,49.84914,26.54764,23.17294,m,2.0,120
