,inner_aster_diameter_1_um,inner_aster_diameter_2_um,cell_diameter_um,meiotic,stage,organism,organism_CAT,inner_aster_diam_AVG
595,2.3931600000000004,2.5063500000000003,29.073660000000004,0,m,Strongylocentrotus_purpuratus,6,2.4497550000000006
596,3.2178299999999997,3.0076200000000006,34.587630000000004,0,m,Strongylocentrotus_purpuratus,6,3.112725
602,3.13698,2.65188,34.9272,0,m,Strongylocentrotus_purpuratus,6,2.89443
603,2.3931600000000004,2.3931600000000004,30.060029999999998,0,m,Strongylocentrotus_purpuratus,6,2.3931600000000004
604,2.03742,2.45784,29.979180000000003,0,m,Strongylocentrotus_purpuratus,6,2.24763
605,2.6033700000000004,2.19912,38.30673,0,m,Strongylocentrotus_purpuratus,6,2.4012450000000003
606,2.19912,2.70039,31.903410000000004,0,m,Strongylocentrotus_purpuratus,6,2.449755
607,2.78124,2.34465,32.64723,0,m,Strongylocentrotus_purpuratus,6,2.562945
608,2.70039,2.5063500000000003,33.43956000000001,0,m,Strongylocentrotus_purpuratus,6,2.60337
609,2.9106,3.3310200000000005,35.202090000000005,0,m,Strongylocentrotus_purpuratus,6,3.1208100000000005
610,2.9106,3.2825100000000003,30.80385,0,m,Strongylocentrotus_purpuratus,6,3.0965550000000004
611,2.2961400000000003,2.65188,26.163060000000005,0,m,Strongylocentrotus_purpuratus,6,2.47401
612,3.2825100000000003,4.220370000000001,28.6209,0,m,Strongylocentrotus_purpuratus,6,3.7514400000000006
613,3.47655,2.86209,27.699210000000004,0,m,Strongylocentrotus_purpuratus,6,3.16932
614,2.78124,3.3310200000000005,26.59965,0,m,Strongylocentrotus_purpuratus,6,3.0561300000000005
615,4.6569600000000015,5.80503,74.55986999999999,0,m,Strongylocentrotus_purpuratus,6,5.230995000000001
616,5.70801,,70.14546,0,m,Strongylocentrotus_purpuratus,6,5.70801
617,8.02032,5.287590000000002,94.15791,0,m,Strongylocentrotus_purpuratus,6,6.653955000000001
619,2.9106,,53.231640000000006,0,m,Strongylocentrotus_purpuratus,6,2.9106
620,2.78124,3.05613,45.04962,0,m,Strongylocentrotus_purpuratus,6,2.918685
621,3.686760000000001,2.78124,46.31088,0,m,Strongylocentrotus_purpuratus,6,3.2340000000000004
622,3.686760000000001,3.05613,42.30072000000001,0,m,Strongylocentrotus_purpuratus,6,3.3714450000000005
623,3.99399,3.83229,70.25865,0,m,Strongylocentrotus_purpuratus,6,3.9131400000000003
624,2.70039,4.543769999999999,63.09534,0,m,Strongylocentrotus_purpuratus,6,3.6220799999999995
625,4.18803,4.1071800000000005,66.41019,0,m,Strongylocentrotus_purpuratus,6,4.147605
626,5.0935500000000005,4.301220000000002,65.0034,0,m,Strongylocentrotus_purpuratus,6,4.697385000000001
631,2.97528,3.2178299999999997,44.435159999999996,0,m,Strongylocentrotus_purpuratus,6,3.096555
632,4.55994,3.58974,39.68118000000001,0,m,Strongylocentrotus_purpuratus,6,4.07484
642,4.15569,4.6893,50.28870000000001,0,m,Strongylocentrotus_purpuratus,6,4.422495
643,3.91314,3.5250600000000003,51.54996000000001,0,m,Strongylocentrotus_purpuratus,6,3.7191
645,5.86971,3.5250600000000003,58.50306000000001,0,m,Strongylocentrotus_purpuratus,6,4.697385000000001
646,3.91314,4.851,56.33628,0,m,Strongylocentrotus_purpuratus,6,4.38207
647,5.0127000000000015,6.7105500000000005,48.461490000000005,0,m,Strongylocentrotus_purpuratus,6,5.861625000000001
648,5.0935500000000005,4.333559999999999,47.58831000000001,0,m,Strongylocentrotus_purpuratus,6,4.7135549999999995
649,5.44929,4.576110000000001,54.444390000000006,0,m,Strongylocentrotus_purpuratus,6,5.012700000000001
654,4.91568,4.49526,52.84356,0,m,Strongylocentrotus_purpuratus,6,4.70547
655,4.624619999999999,5.0935500000000005,48.17043,0,m,Strongylocentrotus_purpuratus,6,4.859085
656,6.53268,3.42804,49.6419,0,m,Strongylocentrotus_purpuratus,6,4.98036
657,5.22291,3.1693200000000004,59.00433,0,m,Strongylocentrotus_purpuratus,6,4.196115
658,3.5250600000000003,3.83229,56.04522000000001,0,m,Strongylocentrotus_purpuratus,6,3.678675
659,6.27396,5.643330000000001,55.57629,0,m,Strongylocentrotus_purpuratus,6,5.958645000000001
660,2.5548599999999997,3.83229,54.08865,0,m,Strongylocentrotus_purpuratus,6,3.193575
661,2.5548599999999997,2.45784,41.18499,0,m,Strongylocentrotus_purpuratus,6,2.50635
662,3.5250600000000003,3.47655,54.153330000000004,0,m,Strongylocentrotus_purpuratus,6,3.500805
663,3.0076200000000006,2.24763,45.72876000000001,0,m,Strongylocentrotus_purpuratus,6,2.627625
664,3.13698,3.2178299999999997,46.73130000000001,0,m,Strongylocentrotus_purpuratus,6,3.177405
665,3.3957,3.8808,59.812830000000005,0,m,Strongylocentrotus_purpuratus,6,3.63825
669,5.25525,4.851,64.30809,0,m,Strongylocentrotus_purpuratus,6,5.053125
670,4.18803,4.18803,58.79412000000001,0,m,Strongylocentrotus_purpuratus,6,4.18803
671,6.03141,5.86971,60.21708,0,m,Strongylocentrotus_purpuratus,6,5.95056
672,2.9591100000000004,2.86209,31.48299,0,m,Strongylocentrotus_purpuratus,6,2.9106
673,2.70039,3.0076200000000006,27.89325,0,m,Strongylocentrotus_purpuratus,6,2.8540050000000003
674,2.65188,2.2961400000000003,28.55622,0,m,Strongylocentrotus_purpuratus,6,2.47401
675,3.0076200000000006,3.2825100000000003,28.96047,0,m,Strongylocentrotus_purpuratus,6,3.1450650000000007
676,3.47655,3.13698,32.76042,0,m,Strongylocentrotus_purpuratus,6,3.306765
677,3.6059099999999997,2.81358,33.051480000000005,0,m,Strongylocentrotus_purpuratus,6,3.209745
678,2.19912,2.86209,28.15197,0,m,Strongylocentrotus_purpuratus,6,2.530605
679,3.0076200000000006,2.5063500000000003,21.409080000000003,0,m,Strongylocentrotus_purpuratus,6,2.7569850000000002
680,2.2961400000000003,2.65188,31.903410000000004,0,m,Strongylocentrotus_purpuratus,6,2.47401
681,2.5063500000000003,2.65188,30.981720000000006,0,m,Strongylocentrotus_purpuratus,6,2.579115
682,2.70039,2.86209,32.016600000000004,0,m,Strongylocentrotus_purpuratus,6,2.78124
683,2.70039,2.65188,29.720460000000006,0,m,Strongylocentrotus_purpuratus,6,2.676135
684,3.05613,3.99399,27.553680000000004,0,m,Strongylocentrotus_purpuratus,6,3.52506
698,2.19912,2.19912,30.25407,0,m,Strongylocentrotus_purpuratus,6,2.19912
699,1.84338,1.5846600000000002,24.060960000000005,0,m,Strongylocentrotus_purpuratus,6,1.71402
700,2.61954,2.19912,25.96902,0,m,Strongylocentrotus_purpuratus,6,2.40933
701,1.6493400000000003,2.27997,28.21665,0,m,Strongylocentrotus_purpuratus,6,1.964655
702,1.9404,1.89189,22.24992,0,m,Strongylocentrotus_purpuratus,6,1.916145
703,2.34465,2.6033700000000004,31.968090000000004,0,m,Strongylocentrotus_purpuratus,6,2.4740100000000003
704,1.89189,1.6493400000000003,29.52642,0,m,Strongylocentrotus_purpuratus,6,1.7706150000000003
705,1.84338,1.82721,25.64562,0,m,Strongylocentrotus_purpuratus,6,1.835295
706,2.03742,1.84338,21.44142,0,m,Strongylocentrotus_purpuratus,6,1.9404
707,2.1506100000000004,2.45784,23.05842,0,m,Strongylocentrotus_purpuratus,6,2.304225
708,2.03742,1.7301900000000001,27.133260000000003,0,m,Strongylocentrotus_purpuratus,6,1.8838050000000002
709,1.6816799999999998,1.6493400000000003,23.009910000000005,0,m,Strongylocentrotus_purpuratus,6,1.66551
711,3.4442100000000004,2.81358,27.634529999999998,0,m,Strongylocentrotus_purpuratus,6,3.128895
712,1.5199799999999999,1.7301900000000001,24.10947,0,m,Strongylocentrotus_purpuratus,6,1.625085
713,2.65188,2.70039,36.738240000000005,0,m,Strongylocentrotus_purpuratus,6,2.676135
714,4.2527099999999995,3.83229,33.77913,0,m,Strongylocentrotus_purpuratus,6,4.0424999999999995
717,2.1021,1.84338,20.29335,0,m,Strongylocentrotus_purpuratus,6,1.97274
718,1.98891,2.03742,16.46106,0,m,Strongylocentrotus_purpuratus,6,2.013165
719,2.19912,1.89189,17.366580000000006,0,m,Strongylocentrotus_purpuratus,6,2.0455050000000004
720,2.27997,2.03742,18.40146,0,m,Strongylocentrotus_purpuratus,6,2.158695
722,2.6033700000000004,2.19912,21.328229999999998,0,m,Strongylocentrotus_purpuratus,6,2.4012450000000003
723,2.24763,2.5063500000000003,21.45759,0,m,Strongylocentrotus_purpuratus,6,2.37699
724,3.0076200000000006,2.9106,26.22774,0,m,Strongylocentrotus_purpuratus,6,2.9591100000000004
725,3.6059099999999997,2.6033700000000004,31.580010000000005,0,m,Strongylocentrotus_purpuratus,6,3.10464
730,3.05613,2.97528,57.35499,0,m,Strongylocentrotus_purpuratus,6,3.015705
731,3.83229,3.96165,54.0078,0,m,Strongylocentrotus_purpuratus,6,3.89697
732,4.39824,3.5735700000000006,51.85719,0,m,Strongylocentrotus_purpuratus,6,3.9859050000000007
733,4.786320000000001,3.3310200000000005,52.24527000000001,0,m,Strongylocentrotus_purpuratus,6,4.058670000000001
734,4.75398,3.76761,47.34576000000001,0,m,Strongylocentrotus_purpuratus,6,4.260795
735,6.176940000000001,4.18803,52.617180000000005,0,m,Strongylocentrotus_purpuratus,6,5.182485000000001
736,5.8535400000000015,5.0935500000000005,48.51000000000001,0,m,Strongylocentrotus_purpuratus,6,5.473545000000001
737,3.96165,4.0425,64.22724000000001,0,m,Strongylocentrotus_purpuratus,6,4.0020750000000005
739,4.624619999999999,11.108789999999999,45.276,0,m,Strongylocentrotus_purpuratus,6,7.866705
740,5.0127000000000015,7.033950000000001,50.74146,0,m,Strongylocentrotus_purpuratus,6,6.023325000000002
741,5.0935500000000005,,52.76271000000001,0,m,Strongylocentrotus_purpuratus,6,5.0935500000000005
742,46.2462,3.91314,48.52617000000001,0,m,Strongylocentrotus_purpuratus,6,25.07967
743,5.691840000000001,4.220370000000001,44.56452000000001,0,m,Strongylocentrotus_purpuratus,6,4.956105000000001
745,4.301220000000002,4.15569,43.67517000000001,0,m,Strongylocentrotus_purpuratus,6,4.228455
751,4.624619999999999,4.786320000000001,34.814009999999996,0,m,Strongylocentrotus_purpuratus,6,4.70547
752,5.38461,5.41695,48.283620000000006,0,m,Strongylocentrotus_purpuratus,6,5.40078
753,4.18803,4.43058,42.31689,0,m,Strongylocentrotus_purpuratus,6,4.309305
758,3.6059099999999997,2.06976,43.044540000000005,0,m,Strongylocentrotus_purpuratus,6,2.837835
759,3.63825,4.15569,62.83662000000001,0,m,Strongylocentrotus_purpuratus,6,3.89697
760,4.43058,4.931850000000002,53.86227000000001,0,m,Strongylocentrotus_purpuratus,6,4.681215000000001
761,3.0076200000000006,3.42804,44.4675,0,m,Strongylocentrotus_purpuratus,6,3.21783
762,3.0076200000000006,3.42804,47.60448,0,m,Strongylocentrotus_purpuratus,6,3.21783
763,2.03742,2.78124,37.67610000000001,0,m,Strongylocentrotus_purpuratus,6,2.4093299999999997
768,6.0799199999999995,5.41695,69.70886999999999,0,m,Strongylocentrotus_purpuratus,6,5.748435
769,6.04758,6.904590000000002,69.88674,0,m,Strongylocentrotus_purpuratus,6,6.476085000000001
770,4.931850000000002,5.25525,43.62666,0,m,Strongylocentrotus_purpuratus,6,5.0935500000000005
771,7.2603300000000015,6.403320000000001,62.31918,0,m,Strongylocentrotus_purpuratus,6,6.831825000000001
772,3.3310200000000005,3.1693200000000004,42.31689,0,m,Strongylocentrotus_purpuratus,6,3.2501700000000007
773,4.786320000000001,3.05613,51.0972,0,m,Strongylocentrotus_purpuratus,6,3.9212250000000006
774,4.851,4.49526,50.91933,0,m,Strongylocentrotus_purpuratus,6,4.6731300000000005
775,2.97528,3.3310200000000005,39.35778000000001,0,m,Strongylocentrotus_purpuratus,6,3.15315
778,5.12589,5.287590000000002,79.92831000000002,0,m,Strongylocentrotus_purpuratus,6,5.206740000000001
779,5.41695,5.74035,71.92416,0,m,Strongylocentrotus_purpuratus,6,5.57865
780,4.34973,4.851,72.18288000000001,0,m,Strongylocentrotus_purpuratus,6,4.600365
781,4.543769999999999,5.643330000000001,74.26881,0,m,Strongylocentrotus_purpuratus,6,5.0935500000000005
782,3.99399,4.0425,48.65553,0,m,Strongylocentrotus_purpuratus,6,4.018245
784,4.26888,4.333559999999999,45.89046,0,m,Strongylocentrotus_purpuratus,6,4.30122
785,3.26634,4.18803,43.44879,0,m,Strongylocentrotus_purpuratus,6,3.7271850000000004
786,5.88588,4.1071800000000005,72.15054,0,m,Strongylocentrotus_purpuratus,6,4.99653
787,4.511430000000001,6.4356599999999995,62.31918,0,m,Strongylocentrotus_purpuratus,6,5.473545
788,5.41695,4.786320000000001,66.55572000000001,0,m,Strongylocentrotus_purpuratus,6,5.101635
789,4.26888,3.96165,62.901300000000006,0,m,Strongylocentrotus_purpuratus,6,4.115265
791,3.79995,3.79995,32.61489,0,m,Strongylocentrotus_purpuratus,6,3.79995
792,3.42804,2.6033700000000004,28.55622,0,m,Strongylocentrotus_purpuratus,6,3.0157050000000005
794,2.5063500000000003,2.4255,30.25407,0,m,Strongylocentrotus_purpuratus,6,2.4659250000000004
795,2.65188,5.077380000000001,27.31113,0,m,Strongylocentrotus_purpuratus,6,3.86463
796,2.5063500000000003,2.03742,21.84567,0,m,Strongylocentrotus_purpuratus,6,2.271885
797,2.34465,1.71402,32.27532,0,m,Strongylocentrotus_purpuratus,6,2.029335
798,2.24763,1.3744500000000002,35.39613000000001,0,m,Strongylocentrotus_purpuratus,6,1.8110400000000002
799,3.05613,3.05613,30.65832,0,m,Strongylocentrotus_purpuratus,6,3.05613
800,1.89189,2.86209,29.4294,0,m,Strongylocentrotus_purpuratus,6,2.37699
802,3.1693200000000004,3.96165,37.43355,0,m,Strongylocentrotus_purpuratus,6,3.5654850000000002
803,4.091010000000002,2.70039,34.248059999999995,0,m,Strongylocentrotus_purpuratus,6,3.3957000000000006
804,1.71402,2.2961400000000003,30.64215,0,m,Strongylocentrotus_purpuratus,6,2.0050800000000004
805,0.0,0.0,15.943620000000001,0,m,Strongylocentrotus_purpuratus,6,0.0
807,2.03742,1.9404,18.175079999999998,0,m,Strongylocentrotus_purpuratus,6,1.98891
808,0.0,0.0,17.204880000000006,0,m,Strongylocentrotus_purpuratus,6,0.0
810,2.19912,2.5548599999999997,30.787679999999998,0,m,Strongylocentrotus_purpuratus,6,2.37699
811,3.58974,3.2825100000000003,33.132329999999996,0,m,Strongylocentrotus_purpuratus,6,3.436125
812,2.45784,1.9404,29.68812,0,m,Strongylocentrotus_purpuratus,6,2.1991199999999997
813,1.71402,1.89189,22.540979999999998,0,m,Strongylocentrotus_purpuratus,6,1.802955
814,0.85701,1.22892,18.74103,0,m,Strongylocentrotus_purpuratus,6,1.0429650000000001
815,1.4391300000000002,1.48764,15.60405,0,m,Strongylocentrotus_purpuratus,6,1.4633850000000002
817,2.1506100000000004,3.76761,29.7528,0,m,Strongylocentrotus_purpuratus,6,2.95911
818,1.1642400000000002,1.6493400000000003,24.077130000000004,0,m,Strongylocentrotus_purpuratus,6,1.4067900000000002
819,2.24763,1.7301900000000001,24.465210000000006,0,m,Strongylocentrotus_purpuratus,6,1.9889100000000002
822,1.7301900000000001,2.5063500000000003,27.84474,0,m,Strongylocentrotus_purpuratus,6,2.1182700000000003
825,0.0,0.0,14.617680000000002,0,m,Strongylocentrotus_purpuratus,6,0.0
826,1.7301900000000001,1.22892,19.93761,0,m,Strongylocentrotus_purpuratus,6,1.479555
828,1.89189,1.89189,23.78607,0,m,Strongylocentrotus_purpuratus,6,1.89189
829,1.22892,1.2936,22.08822,0,m,Strongylocentrotus_purpuratus,6,1.26126
830,1.1642400000000002,1.3744500000000002,19.549529999999997,0,m,Strongylocentrotus_purpuratus,6,1.2693450000000002
831,2.19912,1.71402,23.915430000000004,0,m,Strongylocentrotus_purpuratus,6,1.9565700000000001
833,2.4255,2.03742,27.10092,0,m,Strongylocentrotus_purpuratus,6,2.23146
835,3.8808,3.3633599999999997,87.36650999999999,0,m,Strongylocentrotus_purpuratus,6,3.6220799999999995
836,3.91314,5.56248,97.45659000000002,0,m,Strongylocentrotus_purpuratus,6,4.73781
837,7.227990000000001,7.325010000000001,110.9262,0,m,Strongylocentrotus_purpuratus,6,7.2765
839,7.519050000000001,5.31993,100.0923,0,m,Strongylocentrotus_purpuratus,6,6.419490000000001
840,6.53268,5.86971,100.70676,0,m,Strongylocentrotus_purpuratus,6,6.201195
841,7.599900000000001,7.325010000000001,96.16299,0,m,Strongylocentrotus_purpuratus,6,7.462455
842,3.3633599999999997,6.2092800000000015,82.70955000000002,0,m,Strongylocentrotus_purpuratus,6,4.786320000000001
843,5.3684400000000005,6.53268,87.04311,0,m,Strongylocentrotus_purpuratus,6,5.95056
844,5.80503,6.678210000000001,83.42103,0,m,Strongylocentrotus_purpuratus,6,6.241620000000001
846,7.01778,7.48671,85.3776,0,m,Strongylocentrotus_purpuratus,6,7.252245
849,8.29521,6.176940000000001,87.44736,0,m,Strongylocentrotus_purpuratus,6,7.236075000000001
852,5.287590000000002,7.35735,96.79361999999999,0,m,Strongylocentrotus_purpuratus,6,6.322470000000001
853,7.2765,6.0799199999999995,93.73749,0,m,Strongylocentrotus_purpuratus,6,6.67821
855,7.535220000000002,8.214360000000001,88.2882,0,m,Strongylocentrotus_purpuratus,6,7.874790000000001
856,7.35735,7.890960000000001,86.20227000000001,0,m,Strongylocentrotus_purpuratus,6,7.624155
858,5.12589,7.6807500000000015,90.14775,0,m,Strongylocentrotus_purpuratus,6,6.403320000000001
859,5.918220000000002,6.85608,88.78947000000002,0,m,Strongylocentrotus_purpuratus,6,6.387150000000001
860,6.85608,8.31138,96.47022,0,m,Strongylocentrotus_purpuratus,6,7.58373
861,6.241620000000001,7.17948,98.53998,0,m,Strongylocentrotus_purpuratus,6,6.7105500000000005
862,,,14.375130000000002,0,m,Strongylocentrotus_purpuratus,6,
863,2.5063500000000003,2.4255,19.74357,0,m,Strongylocentrotus_purpuratus,6,2.4659250000000004
864,1.7301900000000001,1.3744500000000002,28.37835,0,m,Strongylocentrotus_purpuratus,6,1.5523200000000001
865,1.71402,1.4391300000000002,24.222660000000005,0,m,Strongylocentrotus_purpuratus,6,1.576575
869,1.0833899999999999,1.3744500000000002,20.74611,0,m,Strongylocentrotus_purpuratus,6,1.22892
870,1.6816799999999998,1.1642400000000002,20.26101,0,m,Strongylocentrotus_purpuratus,6,1.42296
