time_pf,num_of_cells,meiotic,stage,cell_diameter_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,astere-to-pole_distance_1_um,aster-to-pole_distance_2_um,inner_aster_diameter_1_um,inner_aster_diameter_2_um,outer_aster_diameter_1_um,outer__diameter_2_um,centrosome,metaphase_plate_lengt_h_um,metaphase_plate_width_um,metaphase_plate_aspect_ratio_um,polar_body_diameter_1_um,polar_body_diameter_2_um,distance_between_chromosomes_um,microscope,fixation,organism,phylum,classification,genome,chromosomes,cleavage_type,num_of_cells_CAT,num_of_cells_NUM,classification_CAT,phylum_CAT,organism_CAT,cleavage_type_CAT,fixation_CAT,microscope_CAT,stage_CAT,day_old
120,2,0,m,169.89204,54.22018,30.179460000000002,15.68432,3.456967213114754,1.9241803278688527,4.53174,8.80636,18.44836,15.941440000000002,69.03672,71.54364,1,14.816540000000002,3.1818600000000004,4.656565656565657,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
120,2,0,m,193.0,49.55988,26.41908,21.56594,2.2980625931445604,1.225037257824143,7.327920000000001,5.399520000000001,18.83404,17.25918,65.17992000000001,67.71898,1,16.84136,2.8926000000000003,5.822222222222222,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
120,2,0,m,183.7,67.62256000000001,27.57612,17.227040000000002,3.925373134328358,1.6007462686567162,9.06348,9.60986,22.85154,22.722980000000003,70.64372,68.4582,1,14.9451,3.3104200000000006,4.514563106796116,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,201.5,49.68844,32.23642,18.41622,2.6980802792321117,1.7504363001745202,6.910100000000001,7.327920000000001,14.88082,15.620040000000001,58.8162,62.93012000000001,1,15.941440000000002,4.62816,3.4444444444444446,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,224.4,65.95128,43.099740000000004,21.40524,3.081081081081081,2.0135135135135136,7.777880000000001,8.613520000000001,20.794580000000003,21.019560000000002,70.03306,79.32152,1,15.29864,4.435320000000001,3.44927536231884,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,212.4,58.55908,32.6221,20.50532,2.8557993730407523,1.590909090909091,9.9634,6.620840000000001,20.11964,17.901980000000002,56.85566000000001,52.99886000000001,1,19.50898,4.53174,4.304964539007092,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,212.50968000000003,68.13680000000001,34.711200000000005,22.401580000000003,3.0416068866571018,1.5494978479196557,5.9459,6.87796,23.076520000000002,22.015900000000002,74.82192,89.28492000000001,1,19.798240000000003,3.8568000000000002,5.133333333333334,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,220.9,76.0111,33.16848,13.20954,5.754257907542579,2.510948905109489,7.488620000000001,13.723780000000001,15.652180000000001,19.155440000000002,76.04324,70.5473,1,14.495140000000001,5.59236,2.5919540229885056,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,200.9,52.58104,26.29052,17.1949,3.0579439252336447,1.5289719626168223,8.22784,7.585040000000001,16.937780000000004,17.00206,62.70514,61.99806,1,12.40604,6.17088,2.0104166666666665,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,2,0,m,172.43110000000001,49.84914,26.54764,23.17294,2.1511789181692094,1.145631067961165,4.53174,2.34622,14.3023,19.6054,51.070460000000004,61.61238,1,15.587900000000001,6.524420000000001,2.3891625615763545,11.956080000000002,9.3206,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
120,2,0,m,201.26068000000004,50.781200000000005,30.2116,17.45202,2.9097605893186005,1.7311233885819521,5.68878,6.620840000000001,16.68066,19.155440000000002,76.62176000000001,69.32598,1,12.2132,6.460140000000001,1.8905472636815919,11.956080000000002,9.3206,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,a,217.65208000000004,87.19582000000001,75.94682,,,,,,60.00538,49.174200000000006,161.47136,154.36842000000001,1,14.23802,,,11.956080000000002,9.3206,35.57898,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,1.0,140603
120,1,0,m,219.9,55.21652000000001,27.704680000000003,13.820200000000002,3.9953488372093027,2.0046511627906978,7.0708,9.642000000000001,14.366580000000003,11.66682,47.181520000000006,49.39918,1,13.0167,6.68512,1.9471153846153846,11.956080000000002,9.3206,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,a,212.31684,74.8862,41.65344,32.461400000000005,2.3069306930693068,1.283168316831683,4.59602,8.48496,28.026080000000004,24.072860000000002,100.95174000000002,78.71086000000001,1,13.20954,,,11.956080000000002,9.3206,22.56228,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,1.0,140603
120,1,0,a,216.36648000000002,66.72264,41.878420000000006,27.608260000000005,2.416763678696158,1.5168800931315483,3.76038,7.7457400000000005,30.79012,25.32632,102.10878,80.96066,1,11.12044,,,11.956080000000002,9.3206,20.92314,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,1.0,140603
120,1,0,m,202.22488,61.162420000000004,41.68558,29.76164,2.055075593952484,1.400647948164147,4.59602,2.5712,23.71932,22.722980000000003,100.46964000000001,92.20966,1,13.659500000000001,,,11.956080000000002,9.3206,19.25186,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
